Frequency,DB(V(C1:1))@1,DB(V(C1:1))@2,DB(V(C1:1))@3
238864.3023,-37.35412689,-43.37412645,-49.39457593
244428.1667,-37.56062249,-43.58064998,-49.60110648
250121.6301,-37.76682127,-43.78687536,-49.80733853
255947.7113,-37.97273699,-43.9928164,-50.01328593
261909.4993,-38.17838276,-44.19848628,-50.21896186
268010.1553,-38.38377104,-44.40389753,-50.42437888
274252.9138,-38.58891373,-44.60906211,-50.62954894
280641.0848,-38.79382217,-44.81399138,-50.83448344
287178.0554,-38.99850713,-45.0186962,-51.03919325
293867.2916,-39.20297891,-45.22318691,-51.24368869
300712.3402,-39.40724731,-45.42747334,-51.44797965
307716.8304,-39.61132167,-45.63156488,-51.6520755
314884.4761,-39.81521089,-45.83547049,-51.85598521
322219.0778,-40.01892347,-46.03919868,-52.05971731
329724.5243,-40.22246749,-46.24275758,-52.26327995
337404.7951,-40.42585068,-46.44615496,-52.46668088
345263.9624,-40.62908038,-46.64939819,-52.6699275
353306.1932,-40.83216362,-46.85249433,-52.87302687
361535.7516,-41.03510708,-47.05545009,-53.07598572
369957.0011,-41.23791714,-47.25827189,-53.27881045
378574.4067,-41.4405999,-47.46096583,-53.4815072
387392.5374,-41.64316114,-47.66353775,-53.68408179
396416.0688,-41.84560642,-47.8659932,-53.88653979
405649.7852,-42.04794101,-48.0683375,-54.08888652
415098.5826,-42.25016994,-48.2705757,-54.29112704
424767.4706,-42.45229803,-48.47271263,-54.49326618
434661.576,-42.65432986,-48.67475289,-54.69530855
444786.1448,-42.85626981,-48.87670087,-54.89725855
455146.545,-43.05812205,-49.07856078,-55.09912038
465748.27,-43.25989055,-49.28033661,-55.30089804
476596.9408,-43.46157913,-49.48203217,-55.50259535
487698.3097,-43.66319141,-49.68365112,-55.70421596
499058.2627,-43.86473085,-49.88519692,-55.90576335
510682.8229,-44.06620075,-50.08667289,-56.10724084
522578.154,-44.26760427,-50.2880822,-56.3086516
534750.5629,-44.4689444,-50.48942787,-56.50999865
547206.5036,-44.67022404,-50.69071277,-56.71128488
559952.5805,-44.8714459,-50.89193967,-56.91251304
572995.5516,-45.07261261,-51.09311119,-57.11368576
586342.3326,-45.27372667,-51.29422984,-57.31480556
600000,-45.47479046,-51.495298,-57.51587482
