Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.358640e-05,-0.270188
-4.358560e-05,-0.275281
-4.358480e-05,-0.275656
-4.358400e-05,-0.270469
-4.358320e-05,-0.275469
-4.358240e-05,-0.274938
-4.358160e-05,-0.268406
-4.358080e-05,-0.273625
-4.358000e-05,-0.272594
-4.357920e-05,-0.277125
-4.357840e-05,-0.27575
-4.357760e-05,-0.268125
-4.357680e-05,-0.271469
-4.357600e-05,-0.279625
-4.357520e-05,-0.275688
-4.357440e-05,-0.276562
-4.357360e-05,-0.273562
-4.357280e-05,-0.272094
-4.357200e-05,-0.274719
-4.357120e-05,-0.268719
-4.357040e-05,-0.273469
-4.356960e-05,-0.279188
-4.356880e-05,-0.272
-4.356800e-05,-0.269094
-4.356720e-05,-0.2815
-4.356640e-05,-0.278156
-4.356560e-05,-0.2815
-4.356480e-05,-0.276625
-4.356400e-05,-0.278188
-4.356320e-05,-0.279594
-4.356240e-05,-0.277469
-4.356160e-05,-0.273656
-4.356080e-05,-0.273094
-4.356000e-05,-0.274469
-4.355920e-05,-0.279344
-4.355840e-05,-0.273
-4.355760e-05,-0.276344
-4.355680e-05,-0.282969
-4.355600e-05,-0.278219
-4.355520e-05,-0.275344
-4.355440e-05,-0.274094
-4.355360e-05,-0.268656
-4.355280e-05,-0.266531
-4.355200e-05,-0.269219
-4.355120e-05,-0.275281
-4.355040e-05,-0.278625
-4.354960e-05,-0.285469
-4.354880e-05,-0.277906
-4.354800e-05,-0.278969
-4.354720e-05,-0.279594
-4.354640e-05,-0.275562
-4.354560e-05,-0.277969
-4.354480e-05,-0.275688
-4.354400e-05,-0.276375
-4.354320e-05,-0.273531
-4.354240e-05,-0.280844
-4.354160e-05,-0.279531
-4.354080e-05,-0.281562
-4.354000e-05,-0.279031
-4.353920e-05,-0.278313
-4.353840e-05,-0.285562
-4.353760e-05,-0.276
-4.353680e-05,-0.279313
-4.353600e-05,-0.281031
-4.353520e-05,-0.276156
-4.353440e-05,-0.274125
-4.353360e-05,-0.27575
-4.353280e-05,-0.273062
-4.353200e-05,-0.277125
-4.353120e-05,-0.278469
-4.353040e-05,-0.278531
-4.352960e-05,-0.277469
-4.352880e-05,-0.288313
-4.352800e-05,-0.285344
-4.352720e-05,-0.282187
-4.352640e-05,-0.283469
-4.352560e-05,-0.276906
-4.352480e-05,-0.279219
-4.352400e-05,-0.275594
-4.352320e-05,-0.274656
-4.352240e-05,-0.271562
-4.352160e-05,-0.279688
-4.352080e-05,-0.271125
-4.352000e-05,-0.282656
-4.351920e-05,-0.284438
-4.351840e-05,-0.279688
-4.351760e-05,-0.280813
-4.351680e-05,-0.285
